One Hot Encode,Symptom Description
31,"My skin feels like a battleground. It's constantly under attack from a relentless army of blackheads and pus-filled pimples. It's so inflamed and sensitive, the slightest touch sends a wave of pain. It's like my skin is trying to fight off an invasion, but it's just getting worse."
31,"My face feels like a battlefield. It's covered in inflamed, red bumps, some with whiteheads, others with blackheads. The constant itching and burning make it hard to focus, and I can't help but pick at the spots, which only seems to make things worse."
31,"My face has been feeling rough and bumpy lately, with a lot of tiny bumps that are hard to the touch. Some of them are white and filled with pus, while others are black and look like little dots.  It feels like my skin is constantly getting irritated and I can't seem to get rid of these blemishes."
31,"My face feels like a battleground.  It's covered in red, inflamed bumps, some with whiteheads, others just black and stubborn. My skin is so sensitive, even the gentlest touch feels like sandpaper. It feels tight, itchy, and I can't help but pick at it, which only makes it worse."
31,"My face has been feeling rough and bumpy lately. It's covered in small, red bumps that are often filled with pus. There are also a lot of blackheads scattered around, making my skin look uneven and unattractive.  It feels really sensitive too, almost like it's burning, and it's been itching a lot."
31,"My face feels like a battlefield.  It's covered in angry red bumps, some of which are filled with pus. There are also a bunch of blackheads that just won't go away. My skin feels so sensitive and irritated, even the slightest touch makes it sting."
31,"My face has been breaking out like crazy lately.  It's not just a few pimples, it's a whole colony of whiteheads, blackheads, and inflamed, pus-filled bumps.  It's like my skin is rebelling against me!  To make matters worse, it feels so sensitive and itchy, and it's starting to look really red and irritated.  I'm starting to feel embarrassed to go out in public."
31,"My face feels like a battlefield.  It's covered in inflamed, red bumps, some with whiteheads and others with blackheads.  It's constantly itchy and tender, and I can't seem to stop touching it.  I'm worried this acne is getting worse, not better."
31,"My face feels like a battleground.  It's covered in red, inflamed bumps, some with whiteheads, some just angry red spots.  I can feel them under the surface too, making my skin feel rough and uneven.  It's so sensitive, even the gentlest touch makes it sting.  And then there are the blackheads, like little black dots scattered across my forehead and chin. It's just not a good look, and it's making me feel self-conscious."
31,"My face feels like a battlefield. There are red, angry pimples everywhere, some filled with pus, others just black and clogged. My skin feels rough and irritated, and I can't stop picking at it, which only seems to make things worse."
31,"My skin has been feeling rough and bumpy lately, and it's getting worse. I've noticed a lot of small, red bumps that are filled with pus, and there are also blackheads scattered around. My skin feels really sensitive and itchy, and it's starting to flake."
31,"My face has been feeling rough and bumpy lately. I've noticed a lot of small, red bumps, some of which are filled with white pus, and some that look like tiny black dots. It feels like my skin is constantly irritated, and it seems to be getting worse, especially around my forehead and chin."
31,"My face has been feeling rough and bumpy lately.  When I look closer, I see a bunch of tiny whiteheads and some larger, red pimples that are filled with pus. There are also some blackheads scattered around.  My skin feels really irritated and is even a little bit tender to the touch."
31,"My face feels like a battlefield. It's constantly inflamed, with red, angry bumps that are filled with pus. There are also these black specks everywhere, like tiny craters in my skin. It's so itchy and uncomfortable, I can't stop picking at it, which only makes it worse."
31,"My skin has been acting up lately. It's like a warzone out there –  I've got  a lot of  blackheads and pimples that are filled with pus.  To make matters worse, my skin is incredibly sensitive and itchy, and it seems to be getting worse by the day."
31,"My face feels like a warzone. There are red, inflamed bumps everywhere, some with white heads filled with pus, others just black and clogged.  It's itchy and uncomfortable, and my skin feels so sensitive, even the gentlest touch makes it sting."
31,"My face feels like a battlefield. It's covered in angry, red bumps, some filled with pus and others black and stubborn. My skin feels rough and irritated, and it just won't stop itching."
31,"My face feels like a battlefield. It's covered in red, inflamed bumps, some filled with pus, others just black and stubborn. My skin is so sensitive, even the slightest touch makes it sting."
31,"My face feels like a battlefield.  It's covered in red, inflamed bumps, some with whiteheads, others just black dots.  It feels rough and itchy, like I'm wearing sandpaper.  I can't stop touching it, but the more I do, the worse it gets."
31,"My face feels like a battlefield. It's covered in red, inflamed bumps, some with white heads, some just black and clogged. My skin is so sensitive, even a light touch hurts. It's itchy, too, and I can't help but pick at it, which only makes it worse."
31,"My face feels like a battlefield.  It's constantly breaking out in these painful, pus-filled pimples, and the blackheads are just as annoying. My skin is so irritated and sensitive, I can hardly even touch it.  It feels rough and dry, like sandpaper."
31,"My face feels like a battlefield. It's covered in red, inflamed bumps, some of which are whiteheads filled with pus, and others are stubborn blackheads. It's so uncomfortable, and my skin feels constantly irritated and sensitive to the touch."
31,"My skin has been feeling rough and bumpy lately, with a lot of small, red bumps that are tender to the touch.  Some of them have whiteheads or even pus-filled pimples, and I've noticed an increase in blackheads as well.  It's like my skin is suddenly breaking out everywhere, and it's making me feel self-conscious."
31,"My face feels like it's erupting. There are so many pimples, some with whiteheads, some with blackheads, and some just angry red bumps. It's so itchy and uncomfortable, and I can't help but pick at them, which just makes things worse. I've tried all sorts of cleansers and creams, but nothing seems to help. I'm starting to feel self-conscious about it, and it's affecting my confidence."
31,"My face feels like a battlefield. It's constantly breaking out in a painful rash, with angry, pus-filled pimples and stubborn blackheads that seem to multiply overnight.  It's so itchy and uncomfortable, and my skin feels incredibly sensitive, almost raw."
31,"My face feels like a battlefield.  It's covered in red, inflamed bumps, some with whiteheads, others just black and clogged.  My skin feels rough and tight, and it's constantly itchy. I can't stop touching it, which probably makes it worse, but I can't help it!"
31,"My face has been a disaster zone lately.  It's covered in these red, inflamed bumps, some with whiteheads, some with blackheads, and some just plain angry looking. It's so itchy and uncomfortable, and my skin feels rough and dry. I've tried everything to get rid of it, but nothing seems to work. I'm really starting to feel self-conscious about it."
31,"My face feels like a battlefield. It's covered in angry, red bumps, some with white heads oozing pus, others just black and clogged. My skin is so sensitive, even the slightest touch makes it sting. It's like I'm constantly battling a breakout that refuses to give up."
31,"My face has been looking like a warzone lately.  It's covered in these angry, red bumps that are filled with pus and keep popping up.  There are also these stubborn blackheads that just won't go away. My skin feels so rough and irritated, it's like sandpaper.  I'm constantly picking at it, but it just makes things worse. I'm starting to feel really self-conscious about it, and I'm not sure what to do."
31,"My face feels like a battlefield. It's covered in red, inflamed bumps, some of which have erupted into pus-filled pimples. I can't stop picking at the blackheads, but they just keep coming back. It feels like my skin is constantly trying to fight something off, and it's leaving me feeling exhausted and self-conscious."
31,"My face feels like a battlefield. It's covered in red, inflamed bumps, some with white heads filled with pus, others just black and stubborn. It's itchy, painful, and I can't stop touching it, even though I know it makes it worse. I've tried everything, but nothing seems to work. I just want my skin to be clear again."
31,"My face feels like a battleground. It's constantly red and inflamed, with these huge, painful pimples that are filled with pus. There are also blackheads everywhere, like little dark craters in my skin.  It's so embarrassing, I don't even want to leave the house.  And on top of that, my skin feels super sensitive, like even a gentle breeze makes it sting."
31,"My skin has been feeling really rough and bumpy lately.  There are a lot of small red bumps that are filled with pus, and some of them are even turning black.  It's really itchy and uncomfortable, and I can't stop picking at it, which only makes it worse."
31,"My face feels like a battlefield. It's covered in angry red bumps, some filled with pus, others just dark and stubborn. I can't stop picking at them, and my skin feels raw and irritated. It's like my skin is rebelling against me, and I can't seem to calm it down."
31,"My skin has been feeling rough and bumpy lately. I can't seem to get rid of these stubborn blackheads and whiteheads, and now some of them are even turning into painful, pus-filled pimples. It's like my skin is constantly trying to fight something off, and it's making me feel really self-conscious."
31,"My skin has been acting up lately, and I'm not sure what's going on. It feels like there's a constant battle going on beneath the surface, with painful, pus-filled pimples erupting randomly, while stubborn blackheads seem to be digging in for the long haul.  The whole thing feels incredibly itchy and uncomfortable, and my skin feels raw and sensitive to the touch."
31,"My face has been looking terrible lately. It's covered in these red, inflamed bumps that are sometimes filled with pus. I also have a lot of blackheads, and my skin feels rough and irritated. I've tried everything, but nothing seems to help!"
31,"My face feels like a battlefield.  It's covered in red, inflamed bumps, some with whiteheads, some just black.  I keep picking at them, but it just makes things worse.  My skin feels so rough and sensitive, like it's constantly on fire."
31,"My skin has been acting up lately, and it's getting really frustrating. I've got a lot of inflamed, pus-filled pimples and blackheads scattered across my face. My skin feels rough and irritated, and I can't help but pick at it, even though I know I shouldn't.  It's like my skin is constantly in a state of rebellion, with breakouts popping up everywhere."
31,"My face has been feeling rough and bumpy lately. When I look closer, I see a lot of tiny black dots (blackheads) and red, inflamed bumps that sometimes have a white head filled with pus (pimples).  My skin feels really sensitive and irritated, and it's been itching more than usual."
31,"My skin has been feeling rough and bumpy lately, and when I look closer, I see a bunch of tiny red bumps and some larger, inflamed pimples.  Some of them are filled with pus and a few even have blackheads.  It's really uncomfortable, and I can't stop picking at it."
31,"My face has been feeling rough and bumpy lately, and it's getting worse. I can't stop touching it because it's so itchy. When I look closer, there are tons of tiny bumps and larger red spots, some of which have white heads.  It looks like there are some black dots stuck in my pores too.  It's really embarrassing and I'm worried it's spreading."
31,"My face feels like a battlefield. It's constantly red and inflamed, with these painful, pus-filled bumps popping up everywhere.  I can't even touch it without wincing, and there are these stubborn blackheads that seem impossible to get rid of.  It's like my skin is rebelling against me."
31,"My face feels like a battlefield. It's constantly breaking out in painful, pus-filled pimples and stubborn blackheads.  The irritation is relentless, and my skin feels raw and sensitive to the touch.  I'm starting to feel really self-conscious about it."
31,"My skin has been feeling rough and bumpy lately. I've noticed a lot of little red bumps, some with white heads, and some black spots that look like dirt stuck in my pores. It's also been really itchy, and I can't help but pick at it, which doesn't seem to help."
31,"My skin has been acting up lately, with a rash that's hard to ignore. There are these painful, inflamed bumps that seem to be popping up everywhere, some even filled with pus. And if that wasn't bad enough, I've also noticed a lot of blackheads, like tiny dark dots scattered across my face. It's just embarrassing and uncomfortable."
31,"My skin has been feeling rough and bumpy lately.  I've noticed a lot of small, red bumps that have a white center filled with pus.  There are also some blackheads scattered around.  My skin feels really irritated and sensitive, and it's been itching a lot."
31,"My face feels like a warzone. It's covered in inflamed, red bumps, some filled with pus, some just black and stubborn. It's so itchy and uncomfortable, I can't stop touching it, but that only seems to make it worse. I'm really starting to feel self-conscious about it."
31,"My face feels like a battlefield. It's constantly under attack from a relentless wave of inflamed, pus-filled pimples and stubborn blackheads.  The skin is so irritated and rough, it feels like sandpaper.  I can't help but pick at the blemishes, which only makes things worse."
31,"My face feels like a battleground. There are red, inflamed bumps everywhere, some with whiteheads, others with blackheads.  The worst part is the constant itching and stinging. It's hard to focus on anything else with this constant discomfort."
31,"My face feels like a battlefield. It's covered in red, inflamed bumps that are filled with pus and leave behind dark, stubborn marks. I can't seem to get rid of the blackheads either, no matter how much I try. My skin is so sensitive these days, even the slightest touch makes it feel raw."
31,"My skin has been acting up lately, with a lot of red, inflamed bumps appearing.  It's not just regular pimples, they're filled with pus, and there are blackheads popping up too.  My skin feels so rough and irritated, almost like sandpaper, and it's really sensitive to the touch."
31,"My face feels like a battlefield. It's constantly inflamed, with painful, pus-filled pimples erupting seemingly overnight. Blackheads dot my skin like tiny craters, and I can't help but pick at them, even though I know it makes things worse. My skin feels raw and sensitive, and the slightest touch sends a wave of discomfort through me. It's like my face is constantly under attack, and I can't seem to find any relief."
31,"My face feels like a battlefield. There's a constant war raging between my skin and these pesky blackheads and pus-filled pimples.  The irritation is intense, and my skin feels like it's constantly crawling, making it hard to even touch my face."
31,"My face has been feeling rough and bumpy lately. It's covered in these annoying little bumps, some white and filled with pus, others black and stubborn.  I can't seem to stop picking at them, and my skin feels irritated and sore."
31,"My skin has been feeling rough and bumpy lately. I keep noticing these painful red bumps, some with white heads and some filled with pus.  There are also these dark, stubborn spots that seem to be stuck on my face.  It feels like my skin is constantly getting irritated and inflamed."
31,"My face feels like a battlefield.  It's covered in these angry, red bumps - some are whiteheads, some are blackheads, and some are just plain red and inflamed.  They're constantly itching and sometimes even sting.  It's so embarrassing, and I just want it to go away."
31,"My face feels like a battlefield. It's covered in red, inflamed bumps, some with white heads filled with pus, and others are just black, clogged pores. It's so itchy and sensitive, even the lightest touch makes it feel like it's on fire."
31,"My face feels like a battlefield. It's covered in red, inflamed bumps, some with white heads, others just dark and stubborn. I can't stop touching them, even though I know it's making things worse. It feels like my skin is constantly trying to push something out, and it's just making everything more irritated."
31,"My face has been a disaster lately! It's constantly breaking out in painful, red bumps filled with pus. I've also got a ton of blackheads that just won't go away. It feels like my skin is constantly irritated and sensitive, and it's hard to even touch it without it stinging."
31,"My face feels like a battlefield. It's constantly under attack from these red, inflamed bumps that seem to pop up overnight. Some are whiteheads, filled with pus, while others are blackheads, stubbornly clinging to my pores. My skin feels rough and irritated, and it's so sensitive that even the gentlest touch sends a wave of discomfort.  I can't seem to get rid of these blemishes, and it's starting to affect my confidence."
31,"My face feels like a battlefield. It's covered in red, inflamed bumps that are either whiteheads, blackheads, or those painful, pus-filled pimples. It's so itchy and sensitive, I can barely touch it.  Even washing my face is a chore because the water stings.  I feel like I'm constantly fighting this break-out and it just won't go away."
31,"My face feels like a battlefield. It's covered in red, inflamed bumps, some filled with pus, others just dark and stubborn blackheads.  It's so itchy and tender, I can barely touch it."
31,"My face feels like a warzone. There are so many pimples, some filled with pus, and blackheads dotting my skin. It's so itchy and uncomfortable, and it feels like my skin is constantly trying to shed itself."
31,"My skin has been looking terrible lately.  It's covered in these painful, red bumps, some of which are filled with pus.  I've also got a ton of blackheads that just won't go away.  To make matters worse, my skin feels so sensitive and irritated, it's almost unbearable."
31,"My skin has been feeling rough and bumpy lately, with lots of little red bumps and some larger, painful ones.  The bigger bumps are filled with white stuff, and I keep finding blackheads that I can't seem to get rid of.  My face feels really sensitive and itches a lot."
31,"My skin has been feeling rough and bumpy lately. I've noticed a lot of tiny, red bumps that are filled with pus. There are also some blackheads that are starting to appear. My skin feels really sensitive and itchy, and I'm worried about how it looks."
31,"My face feels like a battlefield. It's covered in angry red bumps, some filled with pus, others just black and clogged. It's so itchy, I can't stop touching it, and that only seems to make it worse. I've tried everything to get rid of this rash, but nothing seems to work."
31,"My face feels like a battleground. There are red, inflamed bumps everywhere, some with white heads oozing pus. I can't stop picking at the blackheads, even though I know it's making things worse. My skin feels rough and irritated, like sandpaper."
31,"My face feels like a battlefield.  It's covered in red, inflamed bumps, some of which are filled with pus and some are just angry blackheads.  It's so itchy and uncomfortable, and I'm worried it's getting worse."
31,"My face feels like a battleground. It's covered in red, inflamed bumps, some with whiteheads and some with blackheads. It's so itchy and tender that I can barely touch it.  I feel like I'm constantly picking at it, but it just gets worse."
31,"My face feels like a battlefield. It's covered in red, inflamed bumps that are either filled with pus or have a stubborn blackhead at the center. The skin around them is so sensitive, even the slightest touch sends a jolt of pain. And to top it off, my skin feels like it's constantly itching and flaking, making me want to scratch it raw."
31,"My face feels like a battlefield. It's constantly inflamed, with painful red bumps that are filled with pus.  I'm also seeing a lot of blackheads, and my skin feels rough and irritated. It's so sensitive that even the slightest touch makes it sting."
31,"My skin has been acting up lately.  It's constantly breaking out in these painful, pus-filled pimples and blackheads.  It's so frustrating!  And to make matters worse, my skin feels so sensitive and irritated. It's like everything I touch makes it worse.  I'm really worried that this will be a long-term issue."
31,"My skin has been acting up lately, with painful, inflamed bumps appearing seemingly out of nowhere.  They're filled with pus and surrounded by redness, and some have even turned into stubborn blackheads. My face feels rough and uncomfortable, and I can't help but pick at the blemishes, which only seems to make them worse."
31,"My face feels like a battlefield. It's constantly red and inflamed, with a war raging between blackheads, whiteheads, and angry, pus-filled pimples. My skin feels rough and sensitive, like it's constantly trying to fight off an invasion. It's hard to even touch my face without wincing."
31,"My face feels like it's under attack. It's covered in red, inflamed bumps that are filled with pus and some even have stubborn blackheads clinging to them. The worst part? It feels incredibly sensitive, like even the gentlest touch sends a jolt of pain through my skin."
31,"My face feels like a battlefield.  It's covered in red, inflamed bumps, some of which have whiteheads filled with pus, and there are these dark, stubborn blackheads that just won't budge.  My skin is so sensitive that even the gentlest touch feels like a burn.  It's really making me self-conscious."
31,"My face feels like a battlefield.  It's covered in angry, red bumps filled with pus, and there are these stubborn blackheads that refuse to budge.  My skin is so sensitive now, even the gentlest touch feels like sandpaper."
31,"My face feels like a battlefield. It's constantly red and inflamed, with these painful, pus-filled bumps popping up everywhere. It's hard to even touch my face without feeling a sharp sting. And don't even get me started on the blackheads - they're like tiny, dark craters marring my skin. I can't remember the last time my skin felt smooth or clear."
31,"My skin feels like it's constantly under attack. It's red, inflamed, and covered in these stubborn bumps - some filled with pus, others just black and clogged. It feels so rough and sensitive, like I could scratch it raw."
31,"My face feels like a battlefield. It's covered in red, inflamed bumps that are filled with pus and some even have blackheads in the center.  It's so itchy and uncomfortable, I can't stop touching it, but that just makes it worse. My skin feels really sensitive and everything irritates it."
31,"My skin has been feeling rough and bumpy lately, with a lot of little red bumps that are tender to the touch. Some of them have whiteheads or even pus-filled pimples, and I've noticed more blackheads than usual. My skin feels itchy and irritated, and it seems to be getting worse, especially around my chin and forehead."
31,"My skin has been feeling rough and bumpy lately.  I've noticed a lot of little bumps and some larger, inflamed pimples that are filled with pus.  There are also blackheads scattered across my face, making it feel like there's sand under my skin.  It's quite uncomfortable, and my skin feels really sensitive to touch."
31,"My face feels like a battlefield. It's covered in red, inflamed bumps that are either whiteheads filled with pus or blackheads that seem to be permanently stuck in my pores.  My skin feels rough and irritated, and I can't stop touching it, which only seems to make it worse."
31,"My skin has been feeling really rough and bumpy lately. It feels like there's something stuck under the surface, and when I touch it, there are these painful, pus-filled bumps and blackheads.  It's getting worse, and now my skin feels super sensitive and itchy."
31,"My skin has been acting up lately, with a rash that's full of painful, pus-filled pimples and stubborn blackheads.  It feels like my skin is constantly inflamed, and it's become incredibly sensitive to touch.  Even the slightest irritation feels like a burning sensation."
31,"My skin has been looking really rough lately. It's full of red, inflamed bumps that are sometimes filled with pus. There are also a lot of blackheads, especially around my nose and chin. The worst part is that my skin feels so itchy and irritated, I can't help but pick at it, which just makes it worse."
31,"My face feels like a battleground.  It's constantly inflamed, and there are these stubborn, pus-filled pimples popping up everywhere.  I've got blackheads that just won't quit, and my skin feels so raw and sensitive that even the slightest touch makes me cringe."
31,"My skin has been acting up lately, with a rash that just won't quit. It's like a warzone on my face, with pus-filled pimples erupting everywhere and blackheads like tiny craters. It's so itchy and uncomfortable, and I can't stop picking at it, which makes it even worse. It's making me feel self-conscious and embarrassed."
31,"My face feels like it's erupting. I've got these angry, red bumps all over, some with white heads filled with pus, and others are just black, stubborn little dots.  My skin feels so rough and irritated, it's almost like sandpaper. It's incredibly sensitive too, even the gentlest touch makes it sting."
31,"My skin has been feeling rough and bumpy lately. It's not just dry, there are these little red bumps that have started to pop up. Some are whiteheads, some are blackheads, and some even have pus in them.  It feels like my pores are just clogged and inflamed. It's really itchy too, and the more I scratch, the worse it gets."
31,"My face feels like a battlefield. It's covered in red, inflamed bumps, some filled with pus, others just angry blackheads.  The skin feels rough and tight, like it's constantly trying to fight something off.  It's really uncomfortable and I'm worried it's getting worse."
31,"My skin has been feeling rough and bumpy lately, with little red bumps and some larger, painful pimples that are filled with pus. I've also noticed a lot of blackheads appearing, especially around my nose and chin.  It feels like my skin is constantly inflamed and sensitive, and it's really uncomfortable."
31,"My face has been feeling rough and bumpy lately.  It's covered in little red bumps, some with whiteheads, and some with blackheads.  It feels itchy and I can't stop picking at it, but it just makes things worse.  It's really embarrassing, I can't even look in the mirror without cringing."
31,"My face feels like a battlefield. It's covered in angry red bumps, some filled with pus, others just dark and stubborn. I can't stop picking at them, even though I know it's making it worse. My skin feels so rough and irritated, like sandpaper. It's itchy and uncomfortable, and I can't seem to find any relief."
31,"My face feels like a battlefield.  It's covered in red, inflamed bumps, some of which are whiteheads filled with pus, while others are blackheads.  It's so itchy and uncomfortable, and it's hard to even touch my face without wincing. I'm worried this is more than just a regular breakout."
